caco3_flow_rate [kmol/hr],calciner_temp [Deg C],pellet_moisture_frac,air_mol_flow_rate [kmol/hr],RH_air,DAC_column_height [m],pellet_diameter [mm],DAC_ambient_temp [Deg C],e_voidage,sim_index,Simulation_status,Failure_reason,Heat_duty[cal/sec],Brake_power[kW],calcium_hydroxide_pellet[kmol_per_hr],SCM_conversion_fraction,Ca(OH)2_conversion,mass_flow_co2_in[kg/hr],mass_flow_co2_out[kg/hr],DAC_inlet_press[atm]
15.312988825966904,932.4640023649536,0.0741019528176812,8174.102422810807,0.2637501175383545,8.423874274268814,1.801594777044844,21.22717627485405,0.3831124633619054,62.0,Failure,"(-2147352567, 'Exception occurred.', (14, 'VASetValue (see errcode)', 'Invalid number. -NAN(INE). is not a valid real', None, 0, 0), None)",,,,,,,,
26.240436085669515,904.3800031790036,0.3492338296855747,8297.566442757641,0.7655676517285185,2.133324406747922,5.24650623822973,42.52221775863052,0.4078632007742815,63.0,Success,,387724.2276755612,1661.7462,50.7602478,0.01547069365391765,0.0017406441400277088,129.933354,127.923195,1.2073155735692485
84.37599321530203,904.6407023305162,0.1163339786959316,7839.380744008015,0.600728133121068,9.128379364209962,5.658613728564109,29.361857658908143,0.4486438783934044,64.0,Success,,1246887.244020313,4014.53657,120.03904,0.04940088228550088,0.0017285703597035413,129.933354,123.514532,1.5256518879131868
14.790973579241228,900.3539541864126,0.3133159226945233,8516.01526725516,0.3610728559041465,4.3469571417031485,1.1706899666897417,28.79161267984307,0.3918546838916765,65.0,Success,,218110.76624215383,10885.0776,27.874988,0.06718249715358822,0.013410057341007635,129.933354,121.204107,2.796287034817571
86.35391375150198,928.3302897032764,0.4976669408549414,7267.938600412601,0.86510414112906,8.988560709648253,4.334193155119873,16.3701427482768,0.4045542429207305,66.0,Success,,1291196.901108899,5117.14388,175.113933,0.1063718509224316,0.0036367709126089694,129.933354,116.112103,1.6937551491863245
37.58321262278341,911.5474612059884,0.4276800887937889,7754.787633748615,0.5006442879482301,7.694916616793686,5.484363233183967,19.18491535084333,0.429485990690047,67.0,Success,,557306.6844359541,4041.35728,75.4062669,0.025743490703196835,0.0020222963064782675,129.933354,126.588416,1.5295928755147143
45.16169778537543,947.0553866501036,0.4655184520813913,7498.665902731931,0.6449091028815016,9.727165058407438,3.3721642282960715,20.153428719264934,0.4282929688065883,68.0,Success,,681526.6074096718,6609.41017,91.361986,0.07589699219988584,0.004961643530849541,129.933354,120.071803,1.9418521161513553
17.134980476843086,940.8371523543912,0.4396734199497389,7410.949241856229,0.839337035634768,5.493506236949964,1.208705366944037,27.966669226087152,0.389563449110274,69.0,Success,,257792.42812012008,10760.162,34.4913888,0.16911539561643316,0.02913874116899956,129.933354,107.959623,2.7680847988033084
87.05195758328556,896.6642227405118,0.4431212392479631,8362.958723015807,0.2308736738383172,6.088196781254517,5.237839519869693,29.76236568555513,0.3938387526652044,70.0,Success,,1281324.1806300422,4227.42565,175.373485,0.01833885679309665,0.0006219636043495075,129.933354,127.550525,1.557134247759218
72.37525602539519,926.0142128289922,0.1155360070759563,7639.910975073049,0.4831021562542246,9.855820836399657,2.4870085213426147,32.999877269319825,0.3852259427870803,71.0,Success,,1080945.165182193,10660.2436,102.783576,0.12968244335579113,0.005290081050271598,129.933354,113.083279,2.7456735308991163
67.12332517914581,914.162021420593,0.1856539909082736,7447.462482033848,0.102420645229923,9.25351006793614,5.7097600857744,38.11778096117974,0.445740605029896,72.0,Success,,996638.5151236233,3263.91302,108.847863,0.022111575607679092,0.0009725624146207446,129.933354,127.060323,1.4182753989180068
31.31509123013064,910.4223461681336,0.3235194336086486,8214.04577263499,0.7408097763184205,1.358465142602313,4.440523583676201,19.108856538039664,0.421752941895669,73.0,Success,,464099.6353671483,1074.71301,59.4933523,0.01369364670892751,0.00129103106535758,129.933354,128.154093,1.1359751459542111
50.78935817948387,935.3273412707237,0.4348333064312227,8531.985560088851,0.3231732208887057,7.573478320575812,4.068192818012442,21.499066881542163,0.3698549806508715,74.0,Success,,762047.1208861341,7160.3734,102.108206,0.03358580916581569,0.0019523350244159726,129.933354,125.569437,2.0396942753521574
10.320659032884029,939.8591655221662,0.4707512613924921,7274.301151066704,0.375370633844946,1.261268636345791,1.80817282255596,27.9540635787,0.4060497018257727,75.0,Success,,155197.65270740795,3072.08,20.892815,0.011361685034235602,0.0032501736954896267,129.933354,128.457092,1.3917257438900044
9.86792606802689,929.5812749565976,0.0805098438207478,8305.52871041301,0.8092712995479455,3.2864839002431774,3.889615723294946,22.03917281457892,0.3582513548075562,76.0,Success,,147640.17736641085,4159.85581,12.87142,0.027779458334815176,0.00831130348124152,129.933354,126.323876,1.547092056728978
52.38553858236447,942.4231419192132,0.1189197327955652,8493.195785546513,0.4624794583315172,8.69374458828992,1.975911894129478,28.60250803468291,0.3658797734229846,77.0,Success,,788744.6841968443,12728.9818,74.9531513,0.14291255978466838,0.00805434520151431,129.933354,111.364246,3.2369991067386508
17.941120955829163,897.7523101255296,0.0719750353454886,8989.888201101065,0.1154240185998971,6.868132348196017,1.2570982442791627,44.49610207340218,0.3840913907500968,78.0,Success,,264220.2153422288,12259.9448,22.8682726,0.09425531665897775,0.01551056206919732,129.933354,117.686445,3.1204800894464655
34.99628476335181,916.0828379031028,0.1175398642853194,8976.749836661402,0.1260471422945792,8.931764057633057,4.172264117466752,30.064011214730076,0.4158222409610738,79.0,Success,,520115.7981613659,5198.65058,49.9210336,0.029502035579942302,0.0024888647377697675,129.933354,126.100056,1.7066849513424058
36.996627685355904,915.2309287731164,0.2917580643289653,7156.436773595765,0.3384705435024507,4.591482080145688,5.230699697220432,42.48912189725677,0.3882313529234171,80.0,Success,,549612.6339705408,3777.07881,68.4285871,0.014421636245028095,0.0011508630650130737,129.933354,128.059502,1.491076402396844
50.29633787170962,928.8193143664166,0.4009791525298557,8390.706181148638,0.4262658149978255,9.754050221765963,1.415008228519955,15.948899439776596,0.4293361753119287,81.0,Success,,752231.7846914476,11875.1134,99.9675666,0.1602150816289742,0.009404555738782638,129.933354,109.116071,3.027155226918733
37.52505277378916,925.7045485654688,0.4578629569832239,7474.341690234548,0.7648270803172794,9.476353547670358,3.452235602928123,23.386649945277075,0.3694242641671808,82.0,Success,,560361.6351753031,8441.69858,75.822578,0.09446347344129052,0.007432139505663212,129.933354,117.659398,2.280830197257205
47.28093084826008,896.8846955743168,0.2480649621201848,7321.344820830154,0.755765461497478,9.981652413020678,3.061455166361132,25.48136568115476,0.4050701588295033,83.0,Success,,696008.1479306393,7779.17792,83.5416635,0.11835855007997356,0.007390688070949986,129.933354,114.554631,2.1537392359179393
23.4532546404589,901.7310699299496,0.3670255852905171,8586.43496435411,0.5569370486970205,1.6287690126327117,1.6043301180908842,41.69623076259168,0.370007379709679,84.0,Success,,346084.15605336183,5900.5136,45.8554419,0.03169000122214504,0.003989242086521683,129.933354,125.815766,1.8209665085803632
91.19010938247908,912.7351824377376,0.2087144749265402,8025.253400968068,0.1868217096097248,1.3007502271103166,1.3837763088616786,33.74754012592456,0.4011045967879009,85.0,Success,,1353020.2492255827,3910.31397,153.111163,0.01860587426023201,0.0006023842376098609,129.933354,127.51583,1.5104065339781334
64.76322687970307,909.4261798476722,0.1070194512828253,7539.704102752536,0.1001651364449925,5.861182341930804,4.617026075073845,29.97494199052084,0.4012314129608819,86.0,Success,,959336.4967688278,3656.0009,90.2103099,0.022704954591314795,0.0010350549633068814,129.933354,126.983223,1.4736641390167668
69.20243152439848,923.9826554799844,0.3202611897860112,7140.339710280327,0.2372229824597611,5.583460980272569,4.66999666400517,36.785008481039306,0.3536896339914737,87.0,Success,,1032520.5465066526,5599.49863,131.142623,0.021961638837262664,0.0009369461813088669,129.933354,127.079805,1.7713036796427495
